"","day","temp","dewp","wdsp","nrm"
"277",1,53.4,46.3,13,0.379746835443038
"278",2,58.4,53.2,7.4,0.637974683544304
"279",3,60.8,54.1,5.7,0.630379746835443
"280",4,62.3,53.8,5.5,0.544303797468354
"281",5,64.5,52.1,7.7,0.50126582278481
"282",6,62,50.4,10.9,0.739240506329114
"283",7,55.6,42.6,5,0.569620253164557
"284",1,63.3,45.4,9.8,0.587341772151899
"285",2,68.2,47.1,12.6,0.574683544303797
"286",3,57.5,40.5,10.7,0.60253164556962
"287",4,54.4,38.7,6.6,0.660759493670886
"288",5,57.3,35.1,9.5,0.792405063291139
"289",6,51.1,28.9,8.8,0.584810126582278
"290",7,44.8,21.5,8.5,0.513924050632911
"291",1,46.8,26.9,2.8,0.435443037974684
"292",2,57.7,29,13.2,0.721518987341772
"293",3,65,36.3,11.5,0.713924050632911
"294",4,66.2,49.5,10.1,0.736708860759494
"295",5,61.2,48.1,7.5,0.686075949367089
"296",6,57.4,43.2,9.7,0.693670886075949
"297",7,63.8,56.7,11.9,0.663291139240506
"298",1,52.8,38.1,6.1,0.569620253164557
"299",2,52.2,37.6,4.8,0.70379746835443
"300",3,54.7,41.5,9.6,0.374683544303797
"301",4,53.8,49.5,11.9,0.453164556962025
"302",5,42.2,31.5,15.2,0.420253164556962
"303",6,46.9,35.8,4.5,0.691139240506329
"304",7,48.8,41,8.8,0.551898734177215
"306",2,60.3,43.2,8.9,0.713924050632911
"307",3,61,49,5.7,0.622784810126582
"308",4,60.3,53.5,5.2,0.729113924050633
"309",5,65.6,56.2,10.1,0.635443037974683
"310",6,55.8,46.9,14.1,0.617721518987342
"311",7,46.4,33.8,8.3,0.475949367088608
"312",1,44,26.4,3.6,0.511392405063291
"313",2,46.1,28,3.4,0.458227848101266
"314",3,48.9,33.4,3.5,0.346835443037975
"315",4,51.7,35.6,8.1,0.463291139240506
"316",5,49.7,40.6,19.9,0.481012658227848
"317",6,43.3,26.1,16.4,0.445569620253165
"318",7,42.3,25.6,7,0.488607594936709
"319",1,54.1,32.6,8.3,0.554430379746835
"320",2,53.1,33.8,8.8,0.610126582278481
"321",3,53.1,47.2,12,0.415189873417722
"322",4,60.1,49.2,17,0.455696202531646
"323",5,46,29.7,15.8,0.488607594936709
"324",6,38.2,16.1,10.5,0.534177215189873
"325",7,33.6,30.1,10.3,0.0632911392405063
"326",1,21.4,13.2,7.4,0.0430379746835443
"327",2,31,21.6,8.8,0.372151898734177
"328",3,34.7,27.1,4,0.263291139240506
"329",4,44.7,32.2,9.3,0.29620253164557
"330",5,55,46,12.9,0.217721518987342
"331",6,47.6,42.1,13.8,0.278481012658228
"332",7,39,29.3,12.3,0.392405063291139
"333",1,36.8,27.7,6.9,0.275949367088608
"334",2,42.1,29.7,10.1,0.412658227848101
"335",3,43.5,35.8,9.6,0.739240506329114
"336",4,36.5,30.1,7.5,0.539240506329114
"337",5,34.2,26.9,8.4,0.524050632911392
"338",6,38.3,31.5,8.9,0.49873417721519
"339",7,36.3,30.8,7.1,0.516455696202532
"340",1,38.7,31.2,5.2,0.465822784810127
"341",2,37.2,33.2,4.4,0.470886075949367
"342",3,41.9,36.1,9.4,0.582278481012658
"343",4,48.2,39.8,7.8,0.460759493670886
"344",5,50,37.8,12.2,0.473417721518987
"345",6,49.1,34.3,8.3,0.605063291139241
"346",7,55.3,49.8,4.2,0.630379746835443
"347",1,59.7,55.1,8,0.372151898734177
"348",2,56.5,50,14.6,0.59746835443038
"349",3,43.2,35.3,8,0.734177215189873
"350",4,45.1,37.6,11.9,0.554430379746835
"351",5,34.9,22.9,14.7,0.569620253164557
"352",6,29.8,16.5,11,0.379746835443038
"353",7,25.3,12.1,10.7,0.412658227848101
"354",1,37.8,22.2,10.9,0.481012658227848
"355",2,47.8,39.3,12.8,0.372151898734177
"356",3,41.6,37,6.9,0.483544303797468
"357",4,50.6,46.1,10.7,0.635443037974683
"358",5,43.2,33.3,14.3,0.435443037974684
"360",7,41.6,34.5,9.6,0.346835443037975
"361",1,41.2,35.4,14.5,0.313924050632911
"362",2,35.4,27.7,19.4,0.0329113924050633
"363",3,35.5,30.3,12.9,0.306329113924051
"364",4,30.3,22.9,6.9,0.253164556962025
"365",5,28.5,20.4,8.4,0.270886075949367
"367",7,28.6,19.2,9.2,0.16710182767624
"368",1,28.8,18.7,10.9,0.276762402088773
"369",2,28.5,17.3,10.5,0.297650130548303
